,index_code,industry_name,level
0,801020.SI,采掘,L1
1,801030.SI,化工,L1
2,801040.SI,钢铁,L1
3,801050.SI,有色金属,L1
4,801710.SI,建筑材料,L1
5,801720.SI,建筑装饰,L1
6,801730.SI,电气设备,L1
7,801890.SI,机械设备,L1
8,801740.SI,国防军工,L1
9,801880.SI,汽车,L1
10,801110.SI,家用电器,L1
11,801130.SI,纺织服装,L1
12,801140.SI,轻工制造,L1
13,801200.SI,商业贸易,L1
14,801010.SI,农林牧渔,L1
15,801120.SI,食品饮料,L1
16,801210.SI,休闲服务,L1
17,801150.SI,医药生物,L1
18,801160.SI,公用事业,L1
19,801170.SI,交通运输,L1
20,801180.SI,房地产,L1
21,801080.SI,电子,L1
22,801750.SI,计算机,L1
23,801760.SI,传媒,L1
24,801770.SI,通信,L1
25,801780.SI,银行,L1
26,801790.SI,非银金融,L1
27,801230.SI,综合,L1
